"SPPCODE","lon","lat","bioclim_01","bioclim_04","bioclim_05","bioclim_06","bioclim_12","bioclim_15","bioclim_16","bioclim_17"
"Acrobates_pygmaeus",151.69,-32.83,18.2,4.1,28.4,6.8,1023,0.326451057989493,351,157
"Acrobates_pygmaeus",149.21,-33.24,13.4,5.5,28.4,0.7,769,0.136370952012493,216,164
"Acrobates_pygmaeus",152.73,-30.37,16.1,4.3,27,2.7,1535,0.491018504277215,632,153
"Acrobates_pygmaeus",153.02,-30.43,18.7,3.8,28.2,7.1,1579,0.485557201841998,623,161
"Acrobates_pygmaeus",151.16,-33.6,17.1,3.9,27.2,6.2,1174,0.287265655787429,401,190
"Acrobates_pygmaeus",153.1,-29.89,19,3.8,28.3,7.4,1210,0.438016011124686,451,129
"Acrobates_pygmaeus",150.74,-29.9,17,5.7,32.2,1.1,760,0.327203722007951,276,136
"Acrobates_pygmaeus",153.14,-29.94,19.1,3.7,28.1,7.8,1291,0.439328365546932,478,141
"Acrobates_pygmaeus",150.62,-31.1,15.1,5.5,29.6,1.4,813,0.24950832315406,273,160
"Acrobates_pygmaeus",152.38,-29.34,14.6,4.4,25.7,1.7,1096,0.482831850685458,444,119
"Acrobates_pygmaeus",152.43,-29.29,16.8,4.6,29,2.1,1057,0.536051981783132,444,103
"Acrobates_pygmaeus",150.74,-29.92,16.8,5.7,32,1,767,0.326547587932737,279,139
"Acrobates_pygmaeus",150.94,-28.83,18.8,5.6,33.3,3,669,0.38474080811036,255,99
"Acrobates_pygmaeus",150.74,-30.39,16.5,5.7,31.7,0.9,682,0.335892206417714,250,121
"Acrobates_pygmaeus",150.57,-30.68,16.8,5.7,31.8,1.9,643,0.310120718145241,231,120
"Acrobates_pygmaeus",150.32,-30.34,15.1,5.7,29.9,1.1,925,0.269341057620194,313,186
"Acrobates_pygmaeus",151.08,-30.7,14.6,5.4,29.2,0.4,788,0.291960787675935,273,142
"Acrobates_pygmaeus",151.13,-29.83,15.7,5.3,29.9,1,799,0.361008045876318,298,134
"Acrobates_pygmaeus",153.16,-30.22,19.2,3.5,27.6,8.9,1549,0.467924564014886,592,170
"Acrobates_pygmaeus",152.44,-29.3,16.9,4.6,29,2.1,1064,0.538021760276363,447,103
"Acrobates_pygmaeus",150.1,-30.08,16.3,5.8,31.2,1.8,889,0.264550830914879,297,179
"Acrobates_pygmaeus",150.76,-30.81,16.7,5.7,31.7,1.9,674,0.30410616402701,241,128
"Acrobates_pygmaeus",150.1,-30.06,16,5.7,30.9,1.7,906,0.262403168373354,302,182
"Acrobates_pygmaeus",150.76,-31.39,16,5.5,30.6,1.9,758,0.261362873549445,257,148
"Acrobates_pygmaeus",152.64,-28.47,16.5,4.1,27.4,4.2,1141,0.462645218396302,440,121
"Acrobates_pygmaeus",150.6,-29.71,17.1,5.8,32.5,1.1,729,0.319917818891846,261,133
"Acrobates_pygmaeus",152.92,-30.28,15.6,4.1,25.6,3.3,1679,0.455464414104449,662,183
"Acrobates_pygmaeus",152.75,-30.9,17.7,3.9,28.1,5.7,1302,0.470531602608029,514,129
"Acrobates_pygmaeus",152.74,-30.85,17.4,3.9,27.8,5.5,1377,0.479228384267954,551,135
"Acrobates_pygmaeus",153.18,-29.02,19.4,4,29.8,6.8,1195,0.460970083055929,455,126
"Acrobates_pygmaeus",153.13,-29.15,19.3,4,29.8,6.4,1148,0.472921712742852,441,116
"Acrobates_pygmaeus",151.8,-32.68,17.9,4.3,28.9,6,1054,0.325657108677231,358,161
"Acrobates_pygmaeus",147.4,-33.94,16.6,6.1,33,2.5,466,0.13367795273548,128,94
"Acrobates_pygmaeus",150.28,-32.94,14,4.9,27.1,1.6,775,0.202470973172949,245,153
"Acrobates_pygmaeus",151.09,-33.56,17.2,4.1,27.9,5.7,1061,0.29889079978324,372,170
"Acrobates_pygmaeus",150.3,-35.59,15.9,3.5,24.9,5.6,1115,0.213334795320203,327,195
"Acrobates_pygmaeus",152.14,-32.66,18.4,3.7,27.4,8.5,1292,0.271875273625529,436,230
"Acrobates_pygmaeus",152.84,-28.8,18.8,4.4,30.7,4.5,997,0.49714003477644,397,96
"Acrobates_pygmaeus",150.58,-34.26,15.7,4.5,27.7,3,819,0.243332553927953,263,144
"Acrobates_pygmaeus",153.13,-29.1,19.3,4,29.8,6.4,1145,0.472619414208769,440,116
"Acrobates_pygmaeus",150.94,-32.73,17.1,4.8,30.1,4,744,0.34635231711516,270,110
"Acrobates_pygmaeus",152.08,-32.77,18.3,3.7,27.1,8.4,1287,0.280453110048457,437,228
"Acrobates_pygmaeus",152.36,-32.12,18.1,4,28.4,6.2,1088,0.372229579092464,387,153
"Acrobates_pygmaeus",150.84,-33.49,17.6,4.5,29.6,4.5,855,0.342618524022819,317,134
"Acrobates_pygmaeus",150.38,-35.48,16.4,3.3,25,6.7,1145,0.215869422662421,335,204
"Acrobates_pygmaeus",152.88,-29.43,18,4.4,29.2,3.8,1147,0.515399167294689,465,105
"Acrobates_pygmaeus",152.46,-32.08,18.2,3.9,27.9,6.9,1139,0.368255944273502,403,163
"Acrobates_pygmaeus",152.37,-32.12,18.1,4,28.4,6.3,1093,0.370161939211624,387,154
"Acrobates_pygmaeus",151.14,-33.37,17.5,4.2,28.3,5.6,1046,0.328993371512653,384,164
"Acrobates_pygmaeus",153.07,-30.36,18.7,3.7,27.7,7.5,1622,0.480177042826848,633,170
"Acrobates_pygmaeus",149.9,-36.93,15.3,3.5,24.6,4.3,807,0.209842065360636,235,148
"Acrobates_pygmaeus",151.03,-34.14,17.5,3.8,26.6,7.1,1146,0.258909352544022,373,200
"Acrobates_pygmaeus",150.27,-35.68,15.8,3.5,24.8,5.2,1083,0.216452712986132,322,187
"Acrobates_pygmaeus",150.55,-34.87,17,3.6,26.4,6.8,1055,0.216559247159351,326,194
"Acrobates_pygmaeus",151.57,-32.95,18,4,28,6.5,1051,0.330150744489222,372,162
"Acrobates_pygmaeus",149,-33.35,11.9,5.3,25.9,0.7,945,0.175389214581897,287,185
"Acrobates_pygmaeus",151.1,-33.08,16.7,4.3,27.8,5,906,0.350599493965621,335,134
"Acrobates_pygmaeus",150.93,-33.12,16.5,4.4,28.2,4.3,892,0.354225381706582,331,132
"Acrobates_pygmaeus",150.99,-33.03,16.8,4.5,28.6,4.4,832,0.348242004856578,305,123
"Acrobates_pygmaeus",151,-33.04,17.1,4.5,29.1,4.5,804,0.340462563199791,291,120
"Acrobates_pygmaeus",151.01,-33.31,17.3,4.3,28.8,5,929,0.339584818144363,344,145
"Acrobates_pygmaeus",150.77,-33.31,16.5,4.6,28.7,3.7,929,0.368348345568223,353,140
"Acrobates_pygmaeus",150.88,-33.41,17.5,4.5,29.4,4.6,869,0.33904103636207,322,137
"Acrobates_pygmaeus",150.74,-33.46,17.4,4.7,29.7,4,856,0.362502343673133,324,132
"Acrobates_pygmaeus",153.13,-29.04,19.3,4,30,6.4,1140,0.469671535042466,437,117
"Acrobates_pygmaeus",152.44,-28.49,16.5,4.3,28,3.8,1009,0.441713338404489,381,113
"Acrobates_pygmaeus",153.11,-28.73,18.6,4,29.1,6,1289,0.481834669052893,502,129
"Acrobates_pygmaeus",153.33,-29.19,19.1,3.6,28.1,8.3,1453,0.452281883773975,549,162
"Acrobates_pygmaeus",153.1,-28.73,19,4.1,29.9,6,1192,0.4754231644864,461,120
"Acrobates_pygmaeus",152.98,-28.44,17.8,4.1,28.5,5.1,1263,0.473138035703624,488,128
"Acrobates_pygmaeus",153.36,-29.17,19.2,3.6,28.1,8.6,1484,0.448552816129268,559,166
"Acrobates_pygmaeus",153.13,-29.12,19.3,4,29.8,6.4,1149,0.473362213356246,442,116
"Acrobates_pygmaeus",152.32,-32.2,17.7,4,28.1,5.8,1138,0.355942036818326,400,166
"Acrobates_pygmaeus",153,-29.15,19,4.2,30.2,5.2,1055,0.495624119062921,417,100
"Acrobates_pygmaeus",148.34,-32.73,15.5,5.9,30.7,2.5,681,0.116347150360056,182,154
"Acrobates_pygmaeus",153,-30.13,18.5,4.1,28.9,5.7,1376,0.457598906884075,528,142
"Acrobates_pygmaeus",148.54,-33.01,14.7,5.8,30.1,1.6,709,0.116216480108914,193,157
"Acrobates_pygmaeus",148.39,-32.86,15.8,5.9,31.3,2.5,649,0.113890078612678,171,147
"Acrobates_pygmaeus",148.39,-32.87,15.8,5.9,31.2,2.5,650,0.113284274801837,171,147
"Acrobates_pygmaeus",148.41,-32.98,15.6,5.9,31.2,2.3,651,0.110490994061838,172,146
"Acrobates_pygmaeus",151.04,-34.14,17.1,3.8,26.2,6.9,1216,0.263292060346272,399,211
"Acrobates_pygmaeus",151.29,-33.41,16.8,3.8,26.4,6.4,1270,0.302544770463044,439,202
"Acrobates_pygmaeus",153.12,-28.63,19.2,4.1,30.1,6,1222,0.475672971072963,470,123
"Acrobates_pygmaeus",150.68,-33.32,16.1,4.7,28.4,3.2,968,0.379681221083414,373,145
"Acrobates_pygmaeus",146.42,-34.72,16.6,5.9,32.5,3.3,419,0.162350966469535,120,86
"Acrobates_pygmaeus",151.52,-32.96,17.3,4,27.5,6.1,1043,0.330024009700258,373,159
"Acrobates_pygmaeus",152.21,-32.21,17.8,4.2,28.8,5.7,1088,0.368326495710611,392,151
"Acrobates_pygmaeus",151.45,-32.89,17.6,4.3,28.9,5.5,873,0.344988774365201,321,131
